date|time|description|vendor|amount
2024-01-05|09:15:32|January rent payment|Landlord|-1200.00
2024-01-08|14:22:10|Freelance invoice paid|Client A|2500.00
2024-01-15|11:45:00|Grocery shopping|Walmart|-134.57
2024-02-01|08:30:45|February rent payment|Landlord|-1200.00
2024-02-14|16:10:22|Valentine's dinner|Olive Garden|-87.43
2024-02-20|10:05:11|Monthly paycheck|Employer|3200.00
2024-03-03|13:33:33|Office supplies|Amazon|-56.99
2024-03-10|09:00:00|Freelance invoice paid|Client B|1750.00
2024-03-18|17:45:30|Electric bill|Georgia Power|-142.30
2024-03-22|12:20:15|Grocery shopping|Walmart|-98.76
2026-04-28|11:49:47|Bills|Landlord|-500.0
